timestamp,Z,Zscale,timestamp1
2018-07-11 09:04:02.838,0.785156,0.039606,2018-07-11 09:04:02
2018-07-11 09:04:02.877,0.785156,0.039606,2018-07-11 09:04:02
2018-07-11 09:04:02.916,0.785156,0.039606,2018-07-11 09:04:02
2018-07-11 09:04:02.956,0.789063,0.15059,2018-07-11 09:04:02
2018-07-11 09:04:02.995,0.785156,0.039606,2018-07-11 09:04:02
2018-07-11 09:04:03.034,0.792969,0.261546,2018-07-11 09:04:03
2018-07-11 09:04:03.074,0.785156,0.039606,2018-07-11 09:04:03
2018-07-11 09:04:03.113,0.792969,0.261546,2018-07-11 09:04:03
2018-07-11 09:04:03.152,0.785156,0.039606,2018-07-11 09:04:03
2018-07-11 09:04:03.192,0.78125,-0.07135,2018-07-11 09:04:03
